Frame: 264.0, Anomaly Score: 0.1782, People Count: 21
Frame: 265.0, Anomaly Score: 0.1785, People Count: 20
Frame: 266.0, Anomaly Score: 0.1776, People Count: 20
Frame: 267.0, Anomaly Score: 0.1786, People Count: 22
Frame: 268.0, Anomaly Score: 0.1788, People Count: 22
Frame: 269.0, Anomaly Score: 0.1795, People Count: 24
Frame: 270.0, Anomaly Score: 0.1786, People Count: 22
Frame: 271.0, Anomaly Score: 0.1782, People Count: 20
Frame: 272.0, Anomaly Score: 0.1790, People Count: 20
Frame: 273.0, Anomaly Score: 0.1792, People Count: 18
Frame: 274.0, Anomaly Score: 0.1802, People Count: 19
Frame: 275.0, Anomaly Score: 0.1802, People Count: 18
